COMUNA,grupo,vacunados,denominador,cobertura_pct
Puente Alto,estrategia_capullo,1481,1629,90.91
Puente Alto,ninos_6_10_anios,30262,45624,66.33
Puente Alto,ninos_6m_5basico,26401,49420,53.42
Puente Alto,otras_prioridades,4413,9823,44.93
Puente Alto,salud_privado,1403,1522,92.18
Puente Alto,salud_publico,9519,9096,104.65
Puente Alto,trab_avicolas_cerdos,165,114,144.74
Puente Alto,trab_educacion,6895,7596,90.77
Quilicura,adultos_60_mas,19679,29019,67.81
Quilicura,cronicos_11_59,22228,15122,146.99
Quilicura,cuidadores_adulto_mayor_eleam,595,285,208.77
Quilicura,embarazadas,1481,1913,77.42
Quilicura,estrategia_capullo,599,690,86.81
Quilicura,ninos_6_10_anios,12992,20175,64.4
Quilicura,ninos_6m_5basico,12831,20611,62.25
Quilicura,otras_prioridades,5404,2224,242.99
Quilicura,salud_privado,416,234,177.78
Quilicura,salud_publico,1217,1161,104.82
Quilicura,trab_avicolas_cerdos,10,10,100.0
Quilicura,trab_educacion,2512,2373,105.86
Quinta Normal,adultos_60_mas,15904,28808,55.21
Quinta Normal,cronicos_11_59,10951,7974,137.33
Quinta Normal,cuidadores_adulto_mayor_eleam,565,419,134.84
Quinta Normal,embarazadas,797,1249,63.81
Quinta Normal,estrategia_capullo,71,345,20.58
Quinta Normal,ninos_6_10_anios,8343,7698,108.38
Quinta Normal,ninos_6m_5basico,6850,8598,79.67
Quinta Normal,otras_prioridades,959,1244,77.09
Quinta Normal,salud_privado,182,213,85.45
Quinta Normal,salud_publico,3879,3794,102.24
Quinta Normal,trab_avicolas_cerdos,5,7,71.43
Quinta Normal,trab_educacion,1643,1558,105.46
Recoleta,adultos_60_mas,20784,39419,52.73
Recoleta,cronicos_11_59,13113,11798,111.15
Recoleta,cuidadores_adulto_mayor_eleam,971,1027,94.55
Recoleta,embarazadas,1154,1394,82.78
Recoleta,estrategia_capullo,61,381,16.01
Recoleta,ninos_6_10_anios,9679,10953,88.37
Recoleta,ninos_6m_5basico,9162,12335,74.28
Recoleta,otras_prioridades,2217,2438,90.94
Recoleta,salud_privado,3590,3652,98.3
Recoleta,salud_publico,1656,1592,104.02
Recoleta,trab_avicolas_cerdos,77,72,106.94
Recoleta,trab_educacion,1916,1861,102.96
Renca,adultos_60_mas,17102,27707,61.72
Renca,cronicos_11_59,22103,13703,161.3
Renca,cuidadores_adulto_mayor_eleam,212,291,72.85
Renca,embarazadas,1050,1399,75.05
Renca,estrategia_capullo,205,411,49.88
Renca,ninos_6_10_anios,8226,11202,73.43
Renca,ninos_6m_5basico,8171,12314,66.36
Renca,otras_prioridades,2989,3781,79.05
Renca,salud_privado,49,114,42.98
