comuna,campana,denominador
Curacaví,cronicos_11_59,2018
El Bosque,cronicos_11_59,15638
El Monte,cronicos_11_59,3210
Estación Central,cronicos_11_59,12414
Huechuraba,cronicos_11_59,12222
Independencia,cronicos_11_59,6431
Isla de Maipo,cronicos_11_59,2518
La Cisterna,cronicos_11_59,20403
La Florida,cronicos_11_59,17017
La Granja,cronicos_11_59,8779
La Pintana,cronicos_11_59,9853
La Reina,cronicos_11_59,3909
Lampa,cronicos_11_59,5919
Las Condes,cronicos_11_59,9995
Lo Barnechea,cronicos_11_59,3546
Lo Espejo,cronicos_11_59,6914
Lo Prado,cronicos_11_59,10990
Macul,cronicos_11_59,7303
Maipú,cronicos_11_59,34168
María Pinto,cronicos_11_59,1128
Melipilla,cronicos_11_59,8096
Ñuñoa,cronicos_11_59,12016
Padre Hurtado,cronicos_11_59,5558
Paine,cronicos_11_59,6866
Pedro Aguirre Cerda,cronicos_11_59,6039
Peñaflor,cronicos_11_59,5350
Peñalolén,cronicos_11_59,17893
Pirque,cronicos_11_59,1581
Providencia,cronicos_11_59,5841
Pudahuel,cronicos_11_59,28981
Puente Alto,cronicos_11_59,32464
Quilicura,cronicos_11_59,15122
Quinta Normal,cronicos_11_59,7974
Recoleta,cronicos_11_59,11798
Renca,cronicos_11_59,13703
San Bernardo,cronicos_11_59,25319
San Joaquín,cronicos_11_59,10045
San José de Maipo,cronicos_11_59,1303
San Miguel,cronicos_11_59,11494
San Pedro,cronicos_11_59,841
San Ramón,cronicos_11_59,11344
Santiago,cronicos_11_59,27925
Talagante,cronicos_11_59,5932
Tiltil,cronicos_11_59,1441
Vitacura,cronicos_11_59,2359
Alhué,embarazadas,109
Buin,embarazadas,1291
Calera de Tango,embarazadas,187
Cerrillos,embarazadas,777
Cerro Navia,embarazadas,1320
Colina,embarazadas,2018
Conchalí,embarazadas,1054
Curacaví,embarazadas,308
El Bosque,embarazadas,1313
El Monte,embarazadas,302
Estación Central,embarazadas,2044
Huechuraba,embarazadas,797
Independencia,embarazadas,1208
Isla de Maipo,embarazadas,355
La Cisterna,embarazadas,927
La Florida,embarazadas,3171
La Granja,embarazadas,938
La Pintana,embarazadas,1713
La Reina,embarazadas,559
Lampa,embarazadas,1586
Las Condes,embarazadas,2716
Lo Barnechea,embarazadas,1018
Lo Espejo,embarazadas,838
Lo Prado,embarazadas,746
Macul,embarazadas,1021
Maipú,embarazadas,3776
María Pinto,embarazadas,139
Melipilla,embarazadas,1528
Ñuñoa,embarazadas,1988
Padre Hurtado,embarazadas,868
Paine,embarazadas,825
Pedro Aguirre Cerda,embarazadas,757
Peñaflor,embarazadas,773
Peñalolén,embarazadas,1959
Pirque,embarazadas,294
Providencia,embarazadas,1247
Pudahuel,embarazadas,1804
Puente Alto,embarazadas,4657
Quilicura,embarazadas,1913
Quinta Normal,embarazadas,1249
Recoleta,embarazadas,1394
Renca,embarazadas,1399
San Bernardo,embarazadas,3060
San Joaquín,embarazadas,749
San José de Maipo,embarazadas,115
San Miguel,embarazadas,1701
San Pedro,embarazadas,143
San Ramón,embarazadas,693
Santiago,embarazadas,3978
Talagante,embarazadas,717
Tiltil,embarazadas,193
Vitacura,embarazadas,1053
Alhué,estrategia_capullo,24
Buin,estrategia_capullo,408
Calera de Tango,estrategia_capullo,75
Cerrillos,estrategia_capullo,192
Cerro Navia,estrategia_capullo,408
Colina,estrategia_capullo,639
Conchalí,estrategia_capullo,351
Curacaví,estrategia_capullo,93
El Bosque,estrategia_capullo,435
El Monte,estrategia_capullo,117
Estación Central,estrategia_capullo,555
Huechuraba,estrategia_capullo,324
Independencia,estrategia_capullo,333
Isla de Maipo,estrategia_capullo,78
La Cisterna,estrategia_capullo,294
La Florida,estrategia_capullo,981
La Granja,estrategia_capullo,336
La Pintana,estrategia_capullo,675
La Reina,estrategia_capullo,207
Lampa,estrategia_capullo,564
